
#Problem Status User time Failure Version Preprocessing time Backward subsumed Factors computed Forward subsumed Initial clauses Processed clauses Resolvents computed System time Tautologies deleted Total time
ALG012-1.p F        -    unknown          1.2        -            -            -            -            -            -            -            -            -            -
ALG013-1.p F        -    unknown          1.2        -            -            -            -            -            -            -            -            -            -
ALG014+1.p F        -    unknown          1.2        -            -            -            -            -            -            -            -            -            -
ALG015+1.p F        -    unknown          1.2        -            -            -            -            -            -            -            -            -            -
ALG016+1.p F        -    unknown          1.2        -            -            -            -            -            -            -            -            -            -
ALG017+1.p F        -    unknown          1.2        -            -            -            -            -            -            -            -            -            -
ALG018+1.p F        -    unknown          1.2        -            -            -            -            -            -            -            -            -            -
ALG019+1.p F        -    unknown          1.2        -            -            -            -            -            -            -            -            -            -
ALG020+1.p F        -    unknown          1.2        -            -            -            -            -            -            -            -            -            -
ALG021+1.p F        -    unknown          1.2        -            -            -            -            -            -            -            -            -            -
ALG022+1.p F        -    unknown          1.2        -            -            -            -            -            -            -            -            -            -
ALG023+1.p F        -    unknown          1.2        -            -            -            -            -            -            -            -            -            -
ALG024+1.p F        -    unknown          1.2        -            -            -            -            -            -            -            -            -            -
ALG025+1.p F        -    unknown          1.2        -            -            -            -            -            -            -            -            -            -
ALG026+1.p F        -    unknown          1.2        -            -            -            -            -            -            -            -            -            -
ALG027+1.p F        -    unknown          1.2        -            -            -            -            -            -            -            -            -            -
ALG028+1.p F        -    unknown          1.2        -            -            -            -            -            -            -            -            -            -
ALG029+1.p F        -    unknown          1.2        -            -            -            -            -            -            -            -            -            -
ALG030+1.p F        -    unknown          1.2        -            -            -            -            -            -            -            -            -            -
ALG031+1.p F        -    unknown          1.2        -            -            -            -            -            -            -            -            -            -
ALG032+1.p F        -    unknown          1.2        -            -            -            -            -            -            -            -            -            -
ALG033+1.p F        -    unknown          1.2        -            -            -            -            -            -            -            -            -            -
ALG034+1.p F        -    unknown          1.2        -            -            -            -            -            -            -            -            -            -
ALG035+1.p F        -    unknown          1.2        -            -            -            -            -            -            -            -            -            -
ALG036+1.p F        -    unknown          1.2        -            -            -            -            -            -            -            -            -            -
